exp,smape,avgdiff,duration
348_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.312%,1173.64611650485436893203, 575
349_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps3, 0.319%,2245.96206225680933852140, 926
350_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps6, 0.328%,4580.67621359223300970873, 1682
351_hpc-multi-s10-b10-h1-ps-pcl04-pm1-pd0-ps1, 0.342%,7875.81504854368932038834, 2681
352_hpc-single-s10-b1-h1-ps-pcl03-pch5-pm1-pd0-ps1, 5.524%,7.17904290429042904290, 219
353_hpc-single-s10-b1-h1-ps-pcl05-pch5-pm1-pd0-ps1, 5.698%,15.15429042904290429042, 314
354_hpc-single-s10-b1-h1-ps-pcl07-pch5-pm1-pd0-ps1, 6.127%,50.47607260726072607260, 752
355_uninet-single-s10-b1-h1-ps-pcl03-pch5-pm1-pd0-ps1, 0.184%,8.06316137566137566137, 284
356_uninet-single-s10-b1-h1-ps-pcl05-pch5-pm1-pd0-ps1, 0.285%,22.64947089947089947089, 728
357_uninet-single-s10-b1-h1-ps-pcl07-pch5-pm1-pd0-ps1, 0.645%,64.19874338624338624338, 3750
358_hpc-single-s10-b1-h1-ps-pcl03-pch10-pm1-pd0-ps1, 5.632%,6.24051155115511551155, 174
359_hpc-single-s10-b1-h1-ps-pcl05-pch10-pm1-pd0-ps1, 5.474%,17.27846534653465346534, 253
360_hpc-single-s10-b1-h1-ps-pcl07-pch10-pm1-pd0-ps1, 6.155%,73.22689768976897689768, 901
361_uninet-single-s10-b1-h1-ps-pcl03-pch10-pm1-pd0-ps1, 0.173%,7.28306878306878306878, 257
362_uninet-single-s10-b1-h1-ps-pcl05-pch10-pm1-pd0-ps1, 0.270%,23.91402116402116402116, 661
363_uninet-single-s10-b1-h1-ps-pcl07-pch10-pm1-pd0-ps1, 0.723%,82.09391534391534391534, 4965
364_hpc-single-s10-b1-h1-ps-pcl03-pch50-pm1-pd0-ps1, 5.367%,6.06146864686468646864, 171
365_hpc-single-s10-b1-h1-ps-pcl05-pch50-pm1-pd0-ps1, 5.232%,12.49876237623762376237, 243
366_hpc-single-s10-b1-h1-ps-pcl07-pch50-pm1-pd0-ps1, 5.936%,37.42285478547854785478, 1559
367_uninet-single-s10-b1-h1-ps-pcl03-pch50-pm1-pd0-ps1, 0.168%,6.58796296296296296296, 247
368_uninet-single-s10-b1-h1-ps-pcl05-pch50-pm1-pd0-ps1, 0.219%,16.53769841269841269841, 720
369_uninet-single-s10-b1-h1-ps-pcl07-pch50-pm1-pd0-ps1, 0.533%,60.77645502645502645502, 8053
370_hpc-single-s10-b1-h1-ps-pcl03-pch100-pm1-pd0-ps1, 5.485%,6.40099009900990099009, 170
371_hpc-single-s10-b1-h1-ps-pcl05-pch100-pm1-pd0-ps1, 5.518%,9.33250825082508250825, 228
372_hpc-single-s10-b1-h1-ps-pcl07-pch100-pm1-pd0-ps1, 5.701%,17.92615511551155115511, 2427
373_uninet-single-s10-b1-h1-ps-pcl03-pch100-pm1-pd0-ps1, 0.172%,6.68253968253968253968, 247
374_uninet-single-s10-b1-h1-ps-pcl05-pch100-pm1-pd0-ps1, 0.196%,10.47354497354497354497, 1322
