exp,smape,duration
053_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps2, 0.330%,32.33796296296296296296, 249
054_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps2, 0.347%,30.62566137566137566137, 248
055_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps2, 0.349%,30.41137566137566137566, 252
056_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps2, 0.347%,30.48379629629629629629, 255
057_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps4, 2.600%,107.42367986798679867986, 215
058_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps4, 4.049%,64.27516501650165016501, 214
059_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps4, 4.215%,60.22937293729372937293, 215
060_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps4, 3.864%,56.17780528052805280528, 216
061_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 5.262%,55.51031353135313531353, 215
062_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps4, 4.780%,57.21534653465346534653, 216
063_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps4, 2.186%,64.78754125412541254125, 218
064_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps4, 3.219%,72.92615511551155115511, 221
065_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps4, 4.079%,65.29414191419141914191, 215
066_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps4, 3.709%,66.22689768976897689768, 215
067_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps4, 3.931%,65.71740924092409240924, 215
068_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps4, 5.662%,54.64480198019801980198, 216
069_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps4, 5.755%,55.35437293729372937293, 217
070_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps4, 5.636%,55.67821782178217821782, 219
071_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.661%,78.52843915343915343915, 300
072_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.325%,69.48048941798941798941, 299
073_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.318%,66.25793650793650793650, 297
074_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.327%,65.43783068783068783068, 300
075_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.344%,63.64219576719576719576, 298
076_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.328%,64.19940476190476190476, 299
077_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.337%,65.77612433862433862433, 302
078_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.343%,69.49933862433862433862, 307
079_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps4, 0.334%,71.17228835978835978835, 299
080_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps4, 0.340%,75.42096560846560846560, 300
081_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps4, 0.341%,74.68915343915343915343, 300
082_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps4, 0.362%,72.36607142857142857142, 300
083_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps4, 0.366%,72.83829365079365079365, 302
084_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps4, 0.365%,72.14054232804232804232, 305
085_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.047%,223.89521452145214521452, 296
086_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps8, 3.052%,141.31765676567656765676, 298
087_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.995%,137.16212871287128712871, 299
088_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps8, 3.156%,135.25206270627062706270, 299
089_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps8, 4.660%,126.57838283828382838283, 299
090_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps8, 3.469%,132.59282178217821782178, 299
091_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps8, 1.593%,144.52392739273927392739, 301
092_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.895%,151.56724422442244224422, 304
093_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps8, 3.161%,141.16625412541254125412, 299
094_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps8, 2.598%,146.67656765676567656765, 298
095_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps8, 2.693%,144.91047854785478547854, 299
096_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps8, 4.371%,129.83209570957095709570, 299
097_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps8, 4.598%,123.97029702970297029702, 300
098_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps8, 3.858%,130.03382838283828382838, 302
099_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.495%,169.38062169312169312169, 402
100_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.334%,151.90773809523809523809, 402
101_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.331%,145.79298941798941798941, 402
102_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.342%,146.54894179894179894179, 402
103_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.355%,143.75595238095238095238, 403
104_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.339%,141.14616402116402116402, 403
105_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.352%,148.61805555555555555555, 404
106_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.356%,153.47156084656084656084, 409
107_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps8, 0.338%,155.69047619047619047619, 403
108_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps8, 0.344%,164.92658730158730158730, 403
109_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps8, 0.346%,168.30158730158730158730, 404
110_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps8, 0.363%,162.33994708994708994708, 401
111_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps8, 0.369%,168.14285714285714285714, 406
112_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps8, 0.366%,169.36739417989417989417, 408
113_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.437%,476.76691419141914191419, 464
114_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.649%,326.78960396039603960396, 466
115_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.824%,324.06023102310231023102, 465
116_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.680%,322.11922442244224422442, 467
117_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 2.224%,300.66831683168316831683, 465
118_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 2.063%,307.82343234323432343234, 466
119_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.015%,327.25247524752475247524, 470
120_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 2.479%,319.95668316831683168316, 468
121_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 1.455%,334.90717821782178217821, 465
122_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 1.441%,342.53382838283828382838, 466
123_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 1.292%,321.07384488448844884488, 464
124_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 2.203%,307.52310231023102310231, 466
125_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 1.936%,324.98679867986798679867, 465
126_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 2.115%,318.69141914191419141914, 467
127_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.424%,350.48809523809523809523, 609
128_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.331%,319.88525132275132275132, 610
129_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.340%,322.30919312169312169312, 609
130_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.346%,322.15608465608465608465, 609
131_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.352%,309.67162698412698412698, 609
132_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.344%,310.21395502645502645502, 610
133_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.352%,319.91666666666666666666, 611
134_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.351%,325.12996031746031746031, 617
135_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.336%,325.39417989417989417989, 606
136_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.338%,335.08333333333333333333, 612
137_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.337%,336.59490740740740740740, 609
138_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.358%,334.64550264550264550264, 605
139_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.354%,331.08167989417989417989, 613
140_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.361%,337.86772486772486772486, 614
141_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 1.853%,390.24422442244224422442, 549
142_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 1.482%,509.42739273927392739273, 655
143_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps3, 1.174%,637.67739273927392739273, 762
144_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.727%,880.79331683168316831683, 978
145_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps5, 0.542%,1158.98226072607260726072, 1181
146_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps6, 0.448%,1453.34735973597359735973, 1398
147_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.364%,2612.05734323432343234323, 2283
148_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.351%,398.25892857142857142857, 714
149_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.350%,511.03604497354497354497, 846
150_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps3, 0.341%,615.19279100529100529100, 976
151_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.332%,841.62070105820105820105, 1236
152_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps5, 0.322%,1057.75396825396825396825, 1511
153_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps6, 0.316%,1284.37103174603174603174, 1768
154_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.297%,2153.59854497354497354497, 2844
155_hpc-single-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 5.410%,6.39356435643564356435, 165
156_uninet-single-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.172%,6.45436507936507936507, 235
157_hpc-single-s10-b5-h1-ps-pcl0-pm0-pd0-ps1, 5.552%,9.05363036303630363036, 153
158_uninet-single-s10-b5-h1-ps-pcl0-pm0-pd0-ps1, 0.262%,9.47883597883597883597, 227
159_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.363%,69.61344884488448844884, 245
160_hpc-multi-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.405%,78.25123762376237623762, 176
161_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps2, 0.333%,141.03712871287128712871, 273
162_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps4, 0.322%,290.21287128712871287128, 329
163_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps8, 0.328%,611.92615511551155115511, 445
164_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.340%,1278.44471947194719471947, 681
165_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps2, 0.345%,1619.09447194719471947194, 802
166_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps2, 0.347%,2049.89851485148514851485, 950
167_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps3, 0.352%,2501.62582508250825082508, 1098
168_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps4, 0.361%,3406.30033003300330033003, 1407
169_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps5, 0.369%,4304.16377887788778877887, 1702
170_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps6, 0.374%,5250.45297029702970297029, 2007
171_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.392%,9104.76608910891089108910, 3197
