exp,smape,duration
063_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps4, 2.186%, 218
064_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps4, 3.219%, 221
065_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps4, 4.079%, 215
066_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps4, 3.709%, 215
067_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps4, 3.931%, 215
068_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps4, 5.662%, 216
069_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps4, 5.755%, 217
070_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps4, 5.636%, 219
071_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.661%, 300
072_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.325%, 299
073_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.318%, 297
074_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.327%, 300
075_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.344%, 298
076_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.328%, 299
077_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.337%, 302
078_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.343%, 307
079_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps4, 0.334%, 299
080_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps4, 0.340%, 300
081_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps4, 0.341%, 300
082_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps4, 0.362%, 300
083_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps4, 0.366%, 302
084_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps4, 0.365%, 305
085_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.047%, 296
086_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps8, 3.052%, 298
087_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.995%, 299
088_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps8, 3.156%, 299
089_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps8, 4.660%, 299
090_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps8, 3.469%, 299
091_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps8, 1.593%, 301
092_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps8, 2.895%, 304
093_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps8, 3.161%, 299
094_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps8, 2.598%, 298
095_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps8, 2.693%, 299
096_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps8, 4.371%, 299
097_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps8, 4.598%, 300
098_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps8, 3.858%, 302
099_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.495%, 402
100_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.334%, 402
101_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.331%, 402
102_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.342%, 402
103_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.355%, 403
104_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.339%, 403
105_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.352%, 404
106_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps8, 0.356%, 409
107_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps8, 0.338%, 403
108_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps8, 0.344%, 403
109_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps8, 0.346%, 404
110_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps8, 0.363%, 401
111_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps8, 0.369%, 406
112_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps8, 0.366%, 408
113_hpc-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.437%, 464
114_hpc-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.649%, 466
115_hpc-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.824%, 465
116_hpc-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.680%, 467
117_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 2.224%, 465
118_hpc-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 2.063%, 466
119_hpc-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 1.015%, 470
120_hpc-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 2.479%, 468
121_hpc-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 1.455%, 465
122_hpc-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 1.441%, 466
123_hpc-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 1.292%, 464
124_hpc-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 2.203%, 466
125_hpc-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 1.936%, 465
126_hpc-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 2.115%, 467
127_uninet-single-s2-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.424%, 609
128_uninet-single-s4-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.331%, 610
129_uninet-single-s6-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.340%, 609
130_uninet-single-s8-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.346%, 609
131_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.352%, 609
132_uninet-single-s20-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.344%, 610
133_uninet-single-s50-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.352%, 611
134_uninet-single-s100-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.351%, 617
135_uninet-single-s4-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.336%, 606
136_uninet-single-s4-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.338%, 612
137_uninet-single-s4-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.337%, 609
138_uninet-single-s10-b10-h2-ps-pcl0-pm0-pd0-ps1, 0.358%, 605
139_uninet-single-s10-b10-h3-ps-pcl0-pm0-pd0-ps1, 0.354%, 613
140_uninet-single-s10-b10-h4-ps-pcl0-pm0-pd0-ps1, 0.361%, 614
141_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 1.853%, 549
142_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 1.482%, 655
143_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps3, 1.174%, 762
144_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.727%, 978
145_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps5, 0.542%, 1181
146_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps6, 0.448%, 1398
147_hpc-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.364%, 2283
148_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.351%, 714
149_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps2, 0.350%, 846
150_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps3, 0.341%, 976
151_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps4, 0.332%, 1236
152_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps5, 0.322%, 1511
153_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps6, 0.316%, 1768
154_uninet-single-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.297%, 2844
155_hpc-single-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 5.410%, 165
156_uninet-single-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.172%, 235
157_hpc-single-s10-b5-h1-ps-pcl0-pm0-pd0-ps1, 5.552%, 153
158_uninet-single-s10-b5-h1-ps-pcl0-pm0-pd0-ps1, 0.262%, 227
159_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.363%, 245
160_hpc-multi-s10-b10-h1-ps-pcl0-pm0-pd0-ps1, 0.405%, 176
161_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps2, 0.333%, 273
162_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps4, 0.322%, 329
163_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps8, 0.328%, 445
164_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.340%, 681
165_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps2, 0.345%, 802
166_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps2, 0.347%, 950
167_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps3, 0.352%, 1098
168_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps4, 0.361%, 1407
169_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps5, 0.369%, 1702
170_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps6, 0.374%, 2007
171_hpc-multi-s10-b1-h1-ps-pcl0-pm0-pd0-ps1, 0.392%, 3197
